Time,Open,High,Low,Close,Volume
2021-08-11 10:00,1.38144,1.38192,1.38023,1.38169,1676
2021-08-11 11:00,1.38168,1.38307,1.38117,1.38293,1595
2021-08-11 12:00,1.38298,1.38757,1.38269,1.38598,10316
2021-08-11 13:00,1.38599,1.38717,1.38488,1.38551,5775
2021-08-11 14:00,1.38552,1.38685,1.38468,1.38668,3687
2021-08-11 15:00,1.38666,1.38707,1.38595,1.38649,2321
2021-08-11 16:00,1.38648,1.38793,1.38630,1.38790,1431
2021-08-11 17:00,1.38790,1.38875,1.38747,1.38766,2336
2021-08-11 18:00,1.38767,1.38768,1.38640,1.38641,965
2021-08-11 19:00,1.38642,1.38712,1.38639,1.38709,888
2021-08-11 20:00,1.38707,1.38707,1.38625,1.38633,1807
2021-08-11 21:00,1.38637,1.38713,1.38631,1.38688,2030
2021-08-11 22:00,1.38679,1.38686,1.38634,1.38684,669
2021-08-11 23:00,1.38687,1.38702,1.38658,1.38661,802
2021-08-12 00:00,1.38659,1.38737,1.38650,1.38707,1331
2021-08-12 01:00,1.38706,1.38731,1.38644,1.38701,1007
2021-08-12 02:00,1.38701,1.38723,1.38638,1.38697,543
2021-08-12 03:00,1.38698,1.38743,1.38678,1.38742,742
2021-08-12 04:00,1.38742,1.38747,1.38674,1.38678,594
2021-08-12 05:00,1.38680,1.38730,1.38658,1.38694,1199
2021-08-12 06:00,1.38695,1.38724,1.38580,1.38584,1753
2021-08-12 07:00,1.38581,1.38782,1.38552,1.38775,2283
2021-08-12 08:00,1.38774,1.38774,1.38609,1.38624,2301
2021-08-12 09:00,1.38622,1.38658,1.38566,1.38642,2285
2021-08-12 10:00,1.38641,1.38643,1.38501,1.38503,2546
2021-08-12 11:00,1.38502,1.38526,1.38420,1.38473,1893
2021-08-12 12:00,1.38476,1.38553,1.38369,1.38465,4599
2021-08-12 13:00,1.38466,1.38471,1.38320,1.38381,4331
2021-08-12 14:00,1.38382,1.38385,1.38226,1.38336,2382
2021-08-12 15:00,1.38336,1.38352,1.38233,1.38319,1971
2021-08-12 16:00,1.38320,1.38341,1.38162,1.38162,1326
2021-08-12 17:00,1.38162,1.38177,1.38113,1.38143,1242
2021-08-12 18:00,1.38143,1.38145,1.37945,1.37999,1360
2021-08-12 19:00,1.37996,1.38067,1.37996,1.38057,2885
2021-08-12 20:00,1.38054,1.38116,1.38027,1.38050,1953
2021-08-12 21:00,1.38038,1.38136,1.38027,1.38098,567
2021-08-12 22:00,1.38099,1.38125,1.38093,1.38113,523
2021-08-12 23:00,1.38116,1.38134,1.38093,1.38106,428
2021-08-13 00:00,1.38106,1.38125,1.38077,1.38098,810
2021-08-13 01:00,1.38101,1.38128,1.38034,1.38093,835
2021-08-13 02:00,1.38094,1.38163,1.38094,1.38124,524
2021-08-13 03:00,1.38124,1.38143,1.38090,1.38136,469
2021-08-13 04:00,1.38135,1.38153,1.38123,1.38135,285
2021-08-13 05:00,1.38135,1.38145,1.38091,1.38096,502
2021-08-13 06:00,1.38096,1.38100,1.37971,1.38033,1309
2021-08-13 07:00,1.38037,1.38097,1.37982,1.38075,2167
2021-08-13 08:00,1.38081,1.38082,1.37904,1.37995,1560
2021-08-13 09:00,1.37996,1.38065,1.37970,1.38033,1630
2021-08-13 10:00,1.38033,1.38035,1.37915,1.37995,1337
2021-08-13 11:00,1.37995,1.38225,1.37995,1.38180,2638
2021-08-13 12:00,1.38186,1.38337,1.38181,1.38295,2886
2021-08-13 13:00,1.38296,1.38417,1.38296,1.38383,3320
2021-08-13 14:00,1.38383,1.38542,1.38333,1.38528,4000
2021-08-13 15:00,1.38527,1.38621,1.38512,1.38561,2489
2021-08-13 16:00,1.38560,1.38708,1.38558,1.38664,1862
2021-08-13 17:00,1.38662,1.38749,1.38639,1.38744,1734
2021-08-13 18:00,1.38742,1.38743,1.38640,1.38684,1008
2021-08-13 19:00,1.38683,1.38703,1.38657,1.38703,614
2021-08-13 20:00,1.38703,1.38711,1.38576,1.38576,1670
2021-08-15 21:00,1.38553,1.38614,1.38552,1.38594,162
2021-08-15 22:00,1.38636,1.38727,1.38594,1.38659,1665
2021-08-15 23:00,1.38659,1.38687,1.38618,1.38634,756
2021-08-16 00:00,1.38631,1.38671,1.38563,1.38575,867
2021-08-16 01:00,1.38579,1.38665,1.38562,1.38628,818
2021-08-16 02:00,1.38626,1.38667,1.38604,1.38635,1165
2021-08-16 03:00,1.38637,1.38637,1.38512,1.38526,909
2021-08-16 04:00,1.38528,1.38574,1.38527,1.38556,623
2021-08-16 05:00,1.38557,1.38557,1.38452,1.38460,926
2021-08-16 06:00,1.38458,1.38549,1.38383,1.38445,1863
2021-08-16 07:00,1.38445,1.38620,1.38405,1.38545,2667
2021-08-16 08:00,1.38542,1.38680,1.38528,1.38603,2887
2021-08-16 09:00,1.38603,1.38624,1.38483,1.38563,1737
2021-08-16 10:00,1.38565,1.38645,1.38513,1.38603,2086
2021-08-16 11:00,1.38604,1.38783,1.38510,1.38649,2660
2021-08-16 12:00,1.38650,1.38721,1.38602,1.38649,3714
